35,-11,-157,-346,357,155,6,4,-66,-235,1003,-20,36,-33,-19,539,1035,9,26,-47,59,-779,1510,-637,30,-5,89,1265,298,-620,-23,40,245,132,2296,61,-33,23,158,433,-40,-84,-54,17,118,121,-649,155,-73,117,312,-711,-2305,342,-49,59,0,-203,-4533,1165,36,-105,-177,-1183,-2562,625,51,-56,-104,-260,-1505,510,41,-63,-126,22,-1068,126,44,-34,-202,624,-741,-736,3,-8,-207,104,1434,-264,11,0,-183,311,1472,-292,-25,58,21,754,2077,-259,-25,21,59,-967,822,-55,-19,26,103,752,534,-32,3,-11,57,-761,216,44
105,3,119,-55,-1166,41,31,-10,31,118,-738,0,77,12,-1,291,-635,-81,97,13,-49,-392,-165,-34,106,-18,-38,286,-527,150,27,-12,-115,-221,884,-182,-14,39,-173,742,2014,84,-60,37,91,-1954,2052,-126,29,-12,23,758,1110,403,3,-56,104,-873,555,-274,-42,-21,42,1464,69,-85,-68,-11,32,-293,105,-115,-104,35,80,438,-229,159,-127,8,89,-623,-584,191,-30,-8,4,529,-1593,-76,-7,-1,-93,-161,-908,-34,0,-4,-98,20,-289,-93,5,8,-50,-129,53,-19,-19,8,-5,-177,22,24,9,-7,-4,35,66,22
47,-153,22,543,-423,-1975,42,-6,3,330,-125,-1279,59,33,19,-10,-89,-1124,92,38,36,26,-209,-1061,72,130,-25,758,-264,-436,14,213,-35,-399,171,1422,-31,95,-46,-886,453,1708,14,207,-38,-816,1112,3065,-79,-249,69,-430,125,1668,11,-67,12,464,-179,1521,10,-83,-20,-637,362,809,20,-64,4,8,133,833,-13,-95,12,172,405,-156,-50,-45,35,-411,-288,-45,-87,-117,35,95,-96,-1039,-79,-82,-2,1450,-685,-1857,-3,59,-45,-155,-257,-1597,-35,108,-8,113,-25,-329,-12,42,-7,-112,-163,-256,4,38,-15,-37,-81,58
76,-152,32,-742,416,3228,-9,-106,3,650,-177,-1144,-22,-58,-9,-14,-55,-1343,-16,17,-1,165,-133,-1137,0,32,11,4,-67,-881,20,51,2,105,-142,-848,30,59,-16,479,-202,-878,16,45,-6,147,220,-649,7,95,12,97,-25,-73,-27,148,0,-168,-97,555,-63,138,-31,-398,-233,1153,-13,-114,3,-482,199,1185,-4,-3,-46,52,170,807,-1,-96,22,90,-170,130,-3,-42,-1,-251,479,193,-6,-28,21,190,-142,-114,-3,-5,2,14,74,17,-1,-6,9,-96,-40,-95,-4,3,-3,189,-89,-70,-2,9,-14,-15,-1,-36
